corpusid_sectionid,title,date,section_title,question_rephrased,markdown_link,IDK
258832362-s15,Beyond Words: A Comprehensive Survey of Sentence Representations,2023-05-22,Alternative Loss and Objectives,What supplementary losses have been introduced to enhance the effectiveness of Contrastive loss in sentence representation learning?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/258832362-s15.md,False
3254638-s2,A Critical Survey of the Methodology for IE Evaluation,2004,Problematic Issues in IE Evaluation,What challenges arise in evaluating extracted fragments in Information Extraction (IE) systems?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/3254638-s2.md,False
260063224-s10,How to Control Sentiment in Text Generation: A Survey of the State-of-the-Art in Sentiment-Control Techniques,2023,Modification of Token Distribution,How are recent methods modifying token distribution to control sentiment in text generation?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/260063224-s10.md,False
264832783-s9,The Mystery and Fascination of LLMs: A Comprehensive Survey on the Interpretation and Analysis of Emergent Abilities,2023-11-01,Pre-training Data,How does the frequency of terms in pre-training data influence numerical reasoning performance in few-shot settings?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/264832783-s9.md,False
222124957-s2,Which *BERT? A Survey Organizing Contextualized Encoders,2020-10-02,Transfer: The Pretrain-Finetune Framework,How are text representations evaluated in relation to downstream natural language understanding benchmarks?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/222124957-s2.md,False
222124957-s5,Which *BERT? A Survey Organizing Contextualized Encoders,2020-10-02,Nontoken Prediction,In what ways have self-supervised discourse structure objectives been applied in the pretraining of encoders for natural language understanding?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/222124957-s5.md,False
222124957-s8,Which *BERT? A Survey Organizing Contextualized Encoders,2020-10-02,Training,What strategies are recent research efforts employing to reduce the wall-clock training time for BERT models?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/222124957-s8.md,False
222124957-s9,Which *BERT? A Survey Organizing Contextualized Encoders,2020-10-02,Inference,"What are the techniques for reducing the size and inference time of BERT-like models, and what are their limitations?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/222124957-s9.md,False
222124957-s17,Which *BERT? A Survey Organizing Contextualized Encoders,2020-10-02,Input Manipulation 13,What are the pros and cons of using input manipulation for probing tasks in contextualized encoders?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/222124957-s17.md,False
52011136-s1,A review of Spanish corpora annotated with negation,2018-08-01,Negation in Spanish,"What are the key elements involved in annotating negation in English, and how do these differ from the approach used for Spanish?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/52011136-s1.md,False
47019063-s7,Diachronic word embeddings and semantic shifts: a survey,2018-06-09,Comparing vectors across time,How can we effectively compare word vectors from different time-specific models?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/47019063-s7.md,False
47019063-s9,Diachronic word embeddings and semantic shifts: a survey,2018-06-09,Diachronic semantic relations,How do diachronic word embeddings address and solve temporal analogies across different time periods?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/47019063-s9.md,False
47019063-s10,Diachronic word embeddings and semantic shifts: a survey,2018-06-09,Applications,"What are the two main categories of applications for diachronic word embeddings, and what do they entail?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/47019063-s10.md,False
49587276-s4,A Survey on Recent Advances in Named Entity Recognition from Deep Learning models,2018-08-01,NER evaluation metrics,What are the differences between relaxed F1 and strict F1 metrics in evaluating NER predictions?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/49587276-s4.md,False
49587276-s9,A Survey on Recent Advances in Named Entity Recognition from Deep Learning models,2018-08-01,Character level architectures,How are character labels converted into word labels in character-level architectures for NER models?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/49587276-s9.md,False
49587276-s10,A Survey on Recent Advances in Named Entity Recognition from Deep Learning models,2018-08-01,Character+Word level architectures,How do neural network systems that infer features compare to those that rely on feature engineering in Named Entity Recognition (NER) tasks across various languages?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/49587276-s10.md,False
49215220-s6,A Survey on Open Information Extraction,2018-06-14,Evaluation,"What are the main challenges in evaluating Open Information Extraction (Open IE) systems, and how do these challenges affect the ability to compare different systems?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/49215220-s6.md,False
237099284-s11,Recent Neural Methods on Dialogue State Tracking for Task-Oriented Dialogue Systems: A Survey,2021,RNN and latency in DST.,"What strategies have been proposed to improve latency in dialogue state tracking (DST) models, and how do these strategies address the latency issues?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/237099284-s11.md,False
237099284-s12,Recent Neural Methods on Dialogue State Tracking for Task-Oriented Dialogue Systems: A Survey,2021,Dynamic Ontology DST Models,How does the TRADE model enable effective knowledge transfer across different domains in dialogue state tracking?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/237099284-s12.md,False
9089503-s2,A Review of Corpus-based Statistical Models of Language Variation,2015-10-01,Modeling phonetic variation,"What role did the Buckeye corpus play in advancing the study of phonetic variation, and what were its significant findings?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/9089503-s2.md,False
262460726-s2,A Practical Survey on Zero-shot Prompt Design for In-context Learning,2023-09-22,Prompts for Encoder-only Transformer Models (BERT),"What methods have been proposed for designing discrete prompts in BERT models, and how do these methods work?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/262460726-s2.md,False
262460726-s9,A Practical Survey on Zero-shot Prompt Design for In-context Learning,2023-09-22,Evaluation,What are the primary categories and methods for assessing prompt performance in in-context learning?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/262460726-s9.md,False
252683270-s9,A Decade of Knowledge Graphs in Natural Language Processing: A Survey,2022-09-30,Knowledge Graph Construction,How do entity extraction and relation extraction play a role in building new Knowledge Graphs?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/252683270-s9.md,False
252762171-s16,"The Lifecycle of ""Facts"": A Survey of Social Bias in Knowledge Graphs",2022-10-07,Downstream Task Bias: Link Prediction,What is the difference between demographic parity and predictive parity in assessing fairness in link prediction tasks?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/252762171-s16.md,False
252992688-s9,A Survey of Active Learning for Natural Language Processing,2022-10-18,Discriminative 3,How can similarity scores and feature-based metrics be applied in active learning to select instances for NLP tasks?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/252992688-s9.md,False
252992688-s10,A Survey of Active Learning for Natural Language Processing,2022-10-18,Batch Diversity,What are the common strategies for selecting a diverse batch of instances in active learning?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/252992688-s10.md,False
252992688-s19,A Survey of Active Learning for Natural Language Processing,2022-10-18,Directly Reducing Cost,How do pre-annotation and interactive systems help in reducing annotation costs in active learning for NLP tasks?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/252992688-s19.md,False
252992688-s23,A Survey of Active Learning for Natural Language Processing,2022-10-18,Learning,How can active learning be effectively combined with data augmentation techniques to enhance instance querying?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/252992688-s23.md,False
256461177-s12,A Survey of Computational Framing Analysis Approaches,2022,Structural Topic Modeling (STM),How does incorporating metadata improve the interpretability of topics in Structural Topic Modeling (STM)?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/256461177-s12.md,False
1509090-s7,Multiword Expression Processing: A Survey under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International (CC BY-NC-ND 4.0) license Computational Linguistics,2017-12-01,MWE Discovery,"What is MWE discovery, and how does it differ from MWE identification methods?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/1509090-s7.md,False
1509090-s10,Multiword Expression Processing: A Survey under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International (CC BY-NC-ND 4.0) license Computational Linguistics,2017-12-01,Main MWE Discovery Methods,How do linguistic properties such as collocation and non-compositionality contribute to methods for discovering multiword expressions?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/1509090-s10.md,False
1509090-s11,Multiword Expression Processing: A Survey under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International (CC BY-NC-ND 4.0) license Computational Linguistics,2017-12-01,Association,How do statistical association measures determine the strength of word associations in the discovery of multiword expressions (MWEs)?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/1509090-s11.md,False
1509090-s15,Multiword Expression Processing: A Survey under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International (CC BY-NC-ND 4.0) license Computational Linguistics,2017-12-01,Supervised Learning.,What challenges are associated with using annotated data sets in supervised methods for discovering multiword expressions?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/1509090-s15.md,False
1509090-s23,Multiword Expression Processing: A Survey under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International (CC BY-NC-ND 4.0) license Computational Linguistics,2017-12-01,Rule-Based Methods.,"How do rule-based methods address the challenges of variability, discontiguity, and ambiguity in processing multiword expressions (MWEs)?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/1509090-s23.md,False
1509090-s24,Multiword Expression Processing: A Survey under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International (CC BY-NC-ND 4.0) license Computational Linguistics,2017-12-01,Sense Disambiguation Methods.,How do methods inspired by word sense disambiguation approach the identification and classification of multiword expressions (MWEs)?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/1509090-s24.md,False
1509090-s27,Multiword Expression Processing: A Survey under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International (CC BY-NC-ND 4.0) license Computational Linguistics,2017-12-01,Open Issues in MWE Identification,What are the current limitations and challenges faced by identification models in recognizing discontiguous and overlapping multiword expressions (MWEs)?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/1509090-s27.md,False
1509090-s29,Multiword Expression Processing: A Survey under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International (CC BY-NC-ND 4.0) license Computational Linguistics,2017-12-01,Motivations and Challenges for MWE-Aware Parsing,How does MWE-aware parsing effectively tackle the challenges posed by non-compositionality and discontiguity in multiword expressions?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/1509090-s29.md,False
1509090-s31,Multiword Expression Processing: A Survey under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International (CC BY-NC-ND 4.0) license Computational Linguistics,2017-12-01,Discovery after,What are the methods used to identify flexible multiword expressions (MWEs) through linguistic patterns based on parsing?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/1509090-s31.md,False
1509090-s32,Multiword Expression Processing: A Survey under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International (CC BY-NC-ND 4.0) license Computational Linguistics,2017-12-01,Identification Before,What are the challenges and limitations associated with pre-identifying multiword expressions (MWEs) before parsing in natural language processing (NLP) systems?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/1509090-s32.md,False
1509090-s34,Multiword Expression Processing: A Survey under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International (CC BY-NC-ND 4.0) license Computational Linguistics,2017-12-01,Identification after Parsing.,How can reranking be used to enhance the accuracy of identifying multiword expressions in parsed text?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/1509090-s34.md,False
1509090-s35,Multiword Expression Processing: A Survey under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International (CC BY-NC-ND 4.0) license Computational Linguistics,2017-12-01,Evaluation of MWE-Aware Parsing,What are the challenges and solutions in evaluating parsers that are aware of multiword expressions (MWEs) in syntactic parsing?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/1509090-s35.md,False
1509090-s37,Multiword Expression Processing: A Survey under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International (CC BY-NC-ND 4.0) license Computational Linguistics,2017-12-01,MWE Processing and Machine Translation,How do statistical machine translation systems determine the most probable translations during the decoding process?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/1509090-s37.md,False
1509090-s38,Multiword Expression Processing: A Survey under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International (CC BY-NC-ND 4.0) license Computational Linguistics,2017-12-01,Motivations and Challenges for MWE-Aware Machine Translation,What are the primary challenges faced by machine translation systems when translating multiword expressions (MWEs)?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/1509090-s38.md,False
1509090-s40,Multiword Expression Processing: A Survey under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International (CC BY-NC-ND 4.0) license Computational Linguistics,2017-12-01,Discovery after MT.,How do methods using parallel corpora identify and filter multiword expression (MWE) candidates in multilingual discovery?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/1509090-s40.md,False
1509090-s41,Multiword Expression Processing: A Survey under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International (CC BY-NC-ND 4.0) license Computational Linguistics,2017-12-01,Evaluation of MWE-Aware MT,What are the primary challenges and limitations in assessing the quality of multiword expression (MWE) translation in machine translation systems?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/1509090-s41.md,False
226283737-s3,An Empirical Survey of Unsupervised Text Representation Methods on Twitter Data,2020-11-01,Evaluation Metrics,"How do clustering evaluation metrics account for chance, and what do their value ranges signify?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/226283737-s3.md,False
251196750-s3,"""Do you follow me?"": A Survey of Recent Approaches in Dialogue State Tracking",2022-07-29,Datasets,"What are the two primary methods for collecting dialogue datasets, and what are the pros and cons of each?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/251196750-s3.md,False
251196750-s8,"""Do you follow me?"": A Survey of Recent Approaches in Dialogue State Tracking",2022-07-29,Adapting PLMs to Dialogues,How does adapting pre-trained language models (PLMs) to dialogues and specific target domains improve performance in dialogue state tracking (DST) tasks?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/251196750-s8.md,False
251196750-s10,"""Do you follow me?"": A Survey of Recent Approaches in Dialogue State Tracking",2022-07-29,Prompting Generative Models to Address Unseen Domains,How is the text-to-text paradigm being utilized in Dialogue State Tracking (DST)?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/251196750-s10.md,False
251196750-s14,"""Do you follow me?"": A Survey of Recent Approaches in Dialogue State Tracking",2022-07-29,Robustness,How are recent approaches tackling the performance drop in Dialogue State Tracking (DST) models caused by input variations?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/251196750-s14.md,False
53593090-s3,A Review of Standard Text Classification Practices for Multi-label Toxicity Identification of Online Content,2018,Neural Network Classification Models,How do bidirectional recurrent neural networks and attention layers enhance sentence representation in neural network models?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/53593090-s3.md,False
252624550-s3,IMTVault: Extracting and Enriching Low-resource Language Interlinear Glossed Text from Grammatical Descriptions and Typological Survey Articles,2022,Data Modelling,What are the challenges and solutions in using XML for extracting interlinear glossed text data?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/252624550-s3.md,False
251719280-s3,Recent Advances in Text-to-SQL: A Survey of What We Have and What We Expect,2022-08-22,Single-Domain Datasets,Why do single-domain text-to-SQL datasets remain valuable despite their inherent limitations?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/251719280-s3.md,False
251719280-s7,Recent Advances in Text-to-SQL: A Survey of What We Have and What We Expect,2022-08-22,Graph-based Methods,How do graph-based methods improve the representation and encoding of database schema structures in text-to-SQL tasks?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/251719280-s7.md,False
251719280-s8,Recent Advances in Text-to-SQL: A Survey of What We Have and What We Expect,2022-08-22,Decoding,How do different decoding methods enhance SQL generation in text-to-SQL tasks?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/251719280-s8.md,False
251719280-s9,Recent Advances in Text-to-SQL: A Survey of What We Have and What We Expect,2022-08-22,Learning Techniques,What are some techniques used to handle context-dependency in text-to-SQL tasks?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/251719280-s9.md,False
252571112-s3,SHAP-Based Explanation Methods: A Review for NLP Interpretability,2022,Shapley Values Approximation and SHAP,"What are the available methods and algorithms for efficiently approximating SHAP values, and how do they differ from each other?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/252571112-s3.md,False
252571112-s16,SHAP-Based Explanation Methods: A Review for NLP Interpretability,2022,Criticisms,What are the main criticisms of using Shapley values for feature importance in model explanations?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/252571112-s16.md,False
9840922-s10,Word Meaning Inducing via Character Ontology: A Survey on the Semantic Prediction of Chinese Two-Character Words,2005,"Circumventing ""Head-oriented"" Presupposition",How is the weight value for characters in Chinese two-character words determined and calculated?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/9840922-s10.md,False
229376920-s14,Deep Learning for Text Style Transfer: A Survey under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International (CC BY-NC-ND 4.0) license Computational Linguistics,2020-11-01,Automatic Evaluation,"How is BLEU utilized in the evaluation of Text Style Transfer (TST), and what are its limitations?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/229376920-s14.md,False
229376920-s21,Deep Learning for Text Style Transfer: A Survey under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International (CC BY-NC-ND 4.0) license Computational Linguistics,2020-11-01,3.,How do false positives and false negatives affect the evaluation of text style transfer models?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/229376920-s21.md,False
229376920-s41,Deep Learning for Text Style Transfer: A Survey under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International (CC BY-NC-ND 4.0) license Computational Linguistics,2020-11-01,Method Strengths & Weaknesses,What are the challenges and limitations associated with prototype editing methods in text style transfer?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/229376920-s41.md,False
229376920-s44,Deep Learning for Text Style Transfer: A Survey under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International (CC BY-NC-ND 4.0) license Computational Linguistics,2020-11-01,Improving Evaluation Metrics,In what ways can linguistic rules improve the assessment of Text Style Transfer (TST) models?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/229376920-s44.md,False
237371890-s6,Survey of Low-Resource Machine Translation,2021-09-01,Test Sets,How does the FLORES-101 benchmark improve upon previous test sets for low-resource languages?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/237371890-s6.md,False
237371890-s8,Survey of Low-Resource Machine Translation,2021-09-01,Integration of external language models,How have external language models been integrated into neural machine translation (NMT) models to enhance performance in low-resource settings?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/237371890-s8.md,False
237371890-s10,Survey of Low-Resource Machine Translation,2021-09-01,Self-learning: backtranslation and its variants.,How has backtranslation been adapted and improved for low-resource neural machine translation?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/237371890-s10.md,False
237371890-s11,Survey of Low-Resource Machine Translation,2021-09-01,Unsupervised MT.,In what ways have language models been employed to create synthetic parallel data for enhancing low-resource machine translation?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/237371890-s11.md,False
237371890-s14,Survey of Low-Resource Machine Translation,2021-09-01,Transfer Learning,How have recent studies explored the choice of parent language in transfer learning for neural machine translation (NMT)?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/237371890-s14.md,False
237371890-s15,Survey of Low-Resource Machine Translation,2021-09-01,Multilingual Models,What is the impact of parameter sharing on the performance and complexity of multilingual machine translation models?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/237371890-s15.md,False
237371890-s21,Survey of Low-Resource Machine Translation,2021-09-01,Morphological segmentation.,"How have morphological analyzers been used in subword segmentation for low-resource languages, and what have been the results?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/237371890-s21.md,False
237371890-s22,Survey of Low-Resource Machine Translation,2021-09-01,Factored models. Factored source and target representations,"How do factored models enhance translation quality in neural machine translation (NMT), and what factors affect their effectiveness?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/237371890-s22.md,False
237371890-s26,Survey of Low-Resource Machine Translation,2021-09-01,Bilingual lexicons,In what ways have bilingual lexicons been used to improve neural machine translation models?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/237371890-s26.md,False
237371890-s32,Survey of Low-Resource Machine Translation,2021-09-01,Rule-based approaches,"How do modern rule-based machine translation systems, like Apertium, manage translations between languages that are closely related?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/237371890-s32.md,False
237371890-s33,Survey of Low-Resource Machine Translation,2021-09-01,Evaluation,"What are the two main types of automatic metrics used in machine translation (MT) research, and how do they differ?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/237371890-s33.md,False
237371890-s37,Survey of Low-Resource Machine Translation,2021-09-01,Data preparation.,What are the methods and benefits of implementing domain tagging in low-resource machine translation tasks?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/237371890-s37.md,False
237371890-s38,Survey of Low-Resource Machine Translation,2021-09-01,Data pre-processing.,How are transliteration and alphabet mapping utilized in machine translation for languages with different scripts?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/237371890-s38.md,False
237371890-s41,Survey of Low-Resource Machine Translation,2021-09-01,Using additional data.,How do low-resource machine translation systems leverage synthetic data from related languages?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/237371890-s41.md,False
21715311-s1,A Survey on Automatically-Constructed WordNets and their Evaluation: Lexical and Word Embedding-based Approaches,2018-05-01,Background -WordNet Construction,"Why is the expansion approach often preferred for constructing WordNets, and how does it facilitate automatic synset construction?",https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/21715311-s1.md,False
21715311-s4,A Survey on Automatically-Constructed WordNets and their Evaluation: Lexical and Word Embedding-based Approaches,2018-05-01,Bilingual Dictionaries,How do threshold values influence precision and recall in evaluating automatically-constructed Persian WordNets?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/21715311-s4.md,False
21715311-s9,A Survey on Automatically-Constructed WordNets and their Evaluation: Lexical and Word Embedding-based Approaches,2018-05-01,Issues for Evaluating Automatically-Constructed WordNets,What are the challenges and methods involved in the manual evaluation of synsets in automatically-constructed WordNets?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/21715311-s9.md,False
258378266-s5,Neural Ranking with Weak Supervision for Open-Domain Question Answering : A Survey,2023,Choices of Filter,How do filtering methods enhance the quality of questions generated by neural ranking models in open-domain question answering systems?,https://github.com/realliyifei/capri-explore/tree/main/qa_pairs_v19/markdown_files/258378266-s5.md,False
